mat_cod,cod_mat,mat_dsc,mat_ppu,grs_wgt,net_wgt,wgt_uom,mat_vol,vol_uom,mat_len,mat_wid,mat_hgt,mat_uom
5ACEFFF2D6111EDBAF912165649C0D54,F03B076624GRB,Brake Lining,124.97,2.185,2.185,KG,4.032,L,160,90,280,MM
5ACEFFF2D6111EEC98B342CDD6C10F3E,F03B076643GRB,Brake Lining,73.41,1.89,1.73,KG,3.612,L,152,267,89,MM
5ACEFFF2D6111EDBAF9121648A298CDD,F03B076674GRB,Brake Lining,105.75,1.92,1.92,KG,2.76,L,150,80,230,MM
5ACEFFF2D6111EEC98B342D4C5BFCED3,F03B076763GRB,Brake Lining,65.31,1.654,1.59,KG,0.95,L,140,106,64,MM
5ACEFFF2D6111EEC94D544ADE2B81F65,F03B077148GRB,Brake Lining,94.98,2.595,2.595,KG,2.058,L,140,70,210,MM
5ACEFFF2D6111EDBAF96227E02A30CC4,407000A004,Papel A4 (Resma 500 folhas),24.13,20,20,KG,0, ,0,0,0, 
5ACEFFF2D6111EDBAF913B98C00FCD28,F000C60004B15,Starter,243.69,2.35,2.35,KG,7.448,L,140,280,190,MM
5ACEFFF2D6111EDBAF913B981FAA8D49,F000C60005B15,Starter,276.86,2.35,2.35,KG,7.84,L,280,140,200,MM
5ACEFFF2D6111EDBAF913B985E1A4CE3,F000C60299B15,Starter,272.94,2.39,2.39,KG,6.318,L,270,130,180,MM
5ACEFFF2D6111EDBAF913B99E002CD27,F000CD1117742,Overrunning-Clutch Drive,25.79,0.33,0.33,KG,0.672,L,80,80,105,MM
5ACEFFF2D6111EDBAF913BA8268C0D2D,F000CD1140742,Solenoid Switch,62.38,0.81,0.81,KG,1.211,L,106.59,106.59,106.59,MM
5ACEFFF2D6111EDBAF913BAD80ED8D28,F000CD1441742,Brush Holder,11.01,0.076,0.076,KG,0.342,L,95,60,60,MM
5ACEFFF2D6111EDBAF913BB76CD84D69,F000CM9104002,LCD Display: Tech 2 NVH MTS 1100,45.35,0.029,0.029,KG,0.081,L,90,90,10,MM
5ACEFFF2D6111EDBAF913BBA23BE0D15,F000DR0206741,PRESSURE REGULATOR,14.75,0.05,0.05,KG,0.154,L,53.55,53.55,53.55,MM
5ACEFFF2D6111EDBAF913BBE618ECD17,F000DR0208741,PRESSURE REGULATOR,14.87,0.05,0.05,KG,0.154,L,53.55,53.55,53.55,MM
5ACEFFF2D6111EDBAF913BBEA95E8CDE,F000DR0209741,PRESSURE REGULATOR,15.52,0.05,0.05,KG,0.144,L,52.41,52.41,52.41,MM
5ACEFFF2D6111EDBAF913BC2AF318D02,F000DR0215741,PRESSURE REGULATOR,18.48,0.05,0.05,KG,0.154,L,53.55,53.55,53.55,MM
5ACEFFF2D6111EDBAF913BC3196DCD4F,F000DR0216741,PRESSURE REGULATOR,15.93,0.05,0.05,KG,0.199,L,58.35,58.35,58.35,MM
5ACEFFF2D6111EDBAF913BC748294D36,F000DR0217741,PRESSURE REGULATOR,1.62,0.05,0.05,KG,0.11,L,45,35,70,MM
5ACEFFF2D6111EDBAF9057AE3695CCC8,F000DR02183FP,PRESSURE REGULATOR,12.63,0.049,0.049,KG,0.14,L,70,50,40,MM
5ACEFFF2D6111EDBAF913BC8D8140CE3,F000DR0219741,Pressure Regulator,15.59,0.051,0.046,KG,0.103,L,44,34,69,MM
5ACEFFF2D6111EDBAF913BCCA0250CF8,F000DR0221741,PRESSURE REGULATOR,15.95,0.047,0.047,KG,0.16,L,54.28,54.28,54.28,MM
5ACEFFF2D6111EDBAF913BD07C180D28,F000DR0222741,PRESSURE REGULATOR,15.93,0.05,0.05,KG,0.112,L,40,40,70,MM
5ACEFFF2D6111EDBAF913BD5241D8D5B,F000DR0223741,PRESSURE REGULATOR,14.48,0.05,0.05,KG,0.14,L,70,50,40,MM
5ACEFFF2D6111EDBAF913BD5AB318D17,F000DR0227741,PRESSURE REGULATOR,19.17,0.049,0.049,KG,0.14,L,70,50,40,MM
5ACEFFF2D6111EEC94D541041D9CDEE6,F000DR0229741,PRESSURE REGULATOR,14.87,0.05,0.05,KG,0.11,L,45,35,70,MM
5ACEFFF2D6111EDBAF913BE2077ECD15,F000DR10534T3,Pressure Regulator,20.53,0.062,0.052,KG,0.2,L,59,53,64,MM
5ACEFFF2D6111EDBAF913BE3271F4D28,F000DR9000741,PRESSURE REGULATOR,23.87,0.05,0.05,KG,0.165,L,54.84,54.84,54.84,MM
