bin_num,bin_typ,bin_sec,bin_asl
PP.28.014.2.11,SA01,D,28
PP.28.014.2.12,SA01,D,28
PP.28.014.2.13,SA01,D,28
PP.28.014.2.06,SA01,D,28
PP.28.014.2.07,SA01,D,28
PP.28.014.2.08,SA01,D,28
PP.28.014.2.09,SA01,D,28
PP.28.014.2.14,SA01,D,28
PP.28.014.2.15,SA01,D,28
PP.28.015.2.01,SA01,D,28
PP.28.015.2.03,SA01,D,28
PP.28.015.2.04,SA01,D,28
PK.27.012.01,PO02,B,27
PR.22.032.2.04,SA01,B,22
PK.08.024.02,PO02,C,08
PK.09.076.01,PO02,A,09
PK.10.053.01,PO02,A,10
PP.30.095.2.02,SA01,D,30
PP.30.096.2.02,SA01,D,30
PP.28.017.2.10,SA01,D,28
PP.30.097.2.02,SA01,D,30
PP.30.098.2.02,SA01,D,30
PP.30.099.2.02,SA01,D,30
PP.30.100.2.02,SA01,D,30
PP.30.101.2.02,SA01,D,30
PP.28.017.2.11,SA01,D,28
PP.30.102.2.02,SA01,D,30
PP.28.017.2.12,SA01,D,28
PP.28.017.2.13,SA01,D,28
PP.28.017.2.14,SA01,D,28
PP.28.017.2.15,SA01,D,28
PP.28.018.2.01,SA01,D,28
PP.28.018.2.03,SA01,D,28
PP.28.018.2.04,SA01,D,28
PP.28.018.2.05,SA01,D,28
PP.17.051.05,PA01,A,17
PP.17.069.05,PA01,A,17
PP.17.069.06,PA01,A,17
PP.27.112.06,PA01,B,27
PR.07.067.1.03,SA01,C,07
PP.28.071.09,PA01,D,28
PR.07.067.1.04,SA01,C,07
PR.07.067.1.05,SA01,C,07
PK.03.027.02,PO02,C,03
PP.19.048.04,PA01,A,19
PP.09.031.04,PA01,A,09
PR.05.056.1.01,SA01,C,05
PR.05.077.2.02,SA01,C,05
PR.05.078.2.04,SA01,C,05
PR.06.048.1.06,SA01,C,06
PR.06.048.1.07,SA01,C,06
PK.03.035.01,PO02,C,03
PR.07.075.2.03,SA01,C,07
PR.25.076.2.02,SA01,B,25
PR.25.076.2.03,SA01,B,25
PR.25.076.2.04,SA01,B,25
PP.31.055.2.02,PM04,0001,31
PK.20.071.01,PO02,A,20
PK.02.063.01,PD03,A,02
PR.11.031.1.05,SA01,C,11
PK.20.072.01,PO02,A,20
PR.11.031.2.02,SA01,C,11
PR.11.031.2.05,SA01,C,11
PK.02.086.01,PD03,A,02
PK.02.126.01,PD03,A,02
PK.02.129.01,PD03,A,02
PR.29.124.1.14,SA01,D,29
PR.11.032.1.02,SA01,C,11
PP.13.058.04,PA01,A,13
PP.31.013.2.11,PM04,0001,31
PR.16.075.2.04,SA01,A,16
PR.24.033.2.04,SA01,B,24
PR.24.035.2.01,SA01,B,24
PR.24.035.2.02,SA01,B,24
PR.24.043.2.05,SA01,B,24
PR.24.046.2.04,SA01,B,24
PR.24.046.2.05,SA01,B,24
PP.04.108.05,PA01,C,04
PP.04.127.05,PA01,C,04
PR.12.005.2.05,SA01,C,12
PR.24.005.2.03,SA01,B,24
PR.24.005.2.04,SA01,B,24
PR.24.006.2.01,SA01,B,24
PR.24.007.2.05,SA01,B,24
PR.24.010.2.03,SA01,B,24
PP.31.107.2.07,PM04,0001,31
PP.31.107.2.11,PM04,0001,31
PP.03.120.06,PA01,C,03
PP.03.122.07,PA01,C,03
PR.24.011.2.05,SA01,B,24
PP.31.074.2.14,PM04,0001,31
PP.31.074.2.15,PM04,0001,31
PK.26.104.02,PO02,B,26
PP.04.026.08,PA01,C,04
PR.07.090.2.03,SA01,C,07
PK.26.112.02,PO02,B,26
PR.07.113.2.01,SA01,C,07
PR.07.031.1.05,SA01,C,07
PR.07.031.1.03,SA01,C,07
PR.07.031.1.04,SA01,C,07
PP.04.115.09,PA02,D,04
PK.23.129.02,PO02,B,23
PK.24.075.02,PO02,B,24
PP.03.074.03,PA01,C,03
PK.02.117.01,PD03,A,02
PK.14.013.02,PO02,C,14
PR.07.061.1.06,SA01,C,07
PR.07.061.1.07,SA01,C,07
PR.07.061.1.08,SA01,C,07
PK.25.089.01,PO02,B,25
PK.25.098.01,PO02,B,25
PP.21.064.04,PA01,A,21
PP.21.066.04,PA01,A,21
PR.21.070.2.03,SA01,A,21
PR.29.096.1.12,SA01,D,29
PP.12.076.06,PA01,A,12
PR.28.088.1.01,SA01,D,28
PR.28.088.1.02,SA01,D,28
PR.28.088.1.03,SA01,D,28
PR.28.088.1.04,SA01,D,28
PR.28.088.1.05,SA01,D,28
PR.28.088.1.06,SA01,D,28
PP.17.022.06,PA01,A,17
PP.18.029.04,PA01,A,18
PR.18.076.2.04,SA01,A,18
PK.27.110.02,PO02,B,27
PP.01.064.07,PA02,D,01
PP.04.108.03,PA01,C,04
PP.06.071.03,PA01,C,06
PR.30.043.2.05,SA01,D,30
PR.30.045.2.01,SA01,D,30
PR.30.045.2.02,SA01,D,30
PR.30.045.2.03,SA01,D,30
PK.03.101.01,PO02,C,03
PR.30.045.2.04,SA01,D,30
PK.03.106.01,PO02,C,03
PP.04.069.08,PA01,C,04
PP.04.089.07,PA01,C,04
PR.09.013.2.02,SA01,C,09
PP.05.011.03,PA01,C,05
PP.04.108.04,PA01,C,04
PP.31.095.2.02,PM04,0001,31
PR.18.006.2.01,SA01,C,18
PR.29.014.1.04,SA01,D,29
PR.29.014.1.05,SA01,D,29
PR.30.119.2.01,SA01,D,30
PP.11.061.06,PA01,A,11
PR.29.014.1.06,SA01,D,29
PR.29.014.1.02,SA01,D,29
