REMESSA,TIPO,MATERIAL,QTD,VALOR,DT,HR,CLIENTE
1718953710,Nacional OES,0445120054TMK,12,5942.16,20221201,170035,0000002407
1718953716,Nacional,0684200704000,1,4552.95,20221201,170247,0018235300
1718953716,Nacional,0684200704000,1,4552.96,20221201,170247,0018235300
1718953716,Nacional,1687001926000,1,1424.67,20221201,170247,0018235300
1718953716,Nacional,0684200702810,1,2970.1,20221201,170247,0018235300
1718953716,Nacional,1684465881879,1,484.74,20221201,170247,0018235300
0500107045,Nacional OES,F00N201306390,645,8202.27,20221201,122605,0015830100
5240129172,Nacional,90010836128F6,1,119.08,20221201,063748,0090016956
0500107240,Exportação,0432191342741,4,70.08,20221201,170042,0016325200
0500107240,Exportação,04331720638GA,25,80,20221201,170042,0016325200
0500107240,Exportação,04331713858GA,96,413.76,20221201,170042,0016325200
0500107240,Exportação,04332718958GA,226,1179.72,20221201,170042,0016325200
0500107240,Exportação,0261230268742,17,50.32,20221201,170042,0016325200
0500107240,Exportação,04331718608GA,288,3156.48,20221201,170042,0016325200
0500107240,Exportação,04331721508GA,768,3271.68,20221201,170042,0016325200
0500107240,Exportação,0432191427742,84,1195.32,20221201,170042,0016325200
0500107240,Exportação,0432191467742,24,339.84,20221201,170042,0016325200
0500107240,Exportação,0432191487741,32,536.32,20221201,170042,0016325200
0500107240,Exportação,14184150658GA,40,749.6,20221201,170042,0016325200
0500107240,Exportação,04331750868GA,21,97.23,20221201,170042,0016325200
0500107240,Exportação,94122700118GA,31,312.79,20221201,170042,0016325200
0500107240,Exportação,04331712718GA,96,376.32,20221201,170042,0016325200
0500107240,Exportação,24184553468GA,40,770,20221201,170042,0016325200
0500107240,Exportação,2430102332741,400,32,20221201,170042,0016325200
0500107240,Exportação,04331717378GA,69,283.59,20221201,170042,0016325200
0500107240,Exportação,0432191629741,79,1253.73,20221201,170042,0016325200
0500107240,Exportação,04332718098GA,11,50.05,20221201,170042,0016325200
0500107240,Exportação,0432191233741,12,156.36,20221201,170042,0016325200
0500107240,Exportação,04331722718GA,96,352.32,20221201,170042,0016325200
0500107240,Exportação,2434619040742,50,11.5,20221201,170042,0016325200
0500107240,Exportação,04331711168GA,96,423.36,20221201,170042,0016325200
0500107240,Exportação,0445120305741,20,711,20221201,170042,0016325200
0500107240,Exportação,04331718608GA,288,3156.48,20221201,170042,0016325200
0500107240,Exportação,0432191427742,25,355.75,20221201,170042,0016325200
0500107242,Exportação,0432133761741,192,2641.92,20221201,170042,0016325200
0500107242,Exportação,04331752298GA,100,367,20221201,170042,0016325200
0664718592,Nacional,1699200244GVK,1,1715.18,20221201,170042,0017048200
0664718593,Nacional,1699200244GVK,1,1715.18,20221201,170042,0017970700
0664718594,Nacional,1699200244GVK,1,1715.18,20221201,170042,0000065300
0664718595,Nacional,1699200244GVK,1,1715.18,20221201,170042,0017847700
0664718596,Nacional,1699200244GVK,1,1715.18,20221201,170042,0018194200
0664718597,Nacional,1699200244GVK,1,1715.18,20221201,170042,0017520400
0664718598,Nacional,1699200244GVK,1,1715.18,20221201,170042,0001746500
0664718599,Nacional,1699200244GVK,1,1715.18,20221201,170042,0008022900
0664718600,Nacional,1699200244GVK,1,1715.18,20221201,170042,0017583500
0664718601,Nacional,1699200244GVK,1,1715.18,20221201,170042,0018345100
0664718602,Nacional,1699200244GVK,1,1715.18,20221201,170042,0017904800
0664718603,Nacional,1699200244GVK,1,1715.18,20221201,170042,0017901900
0664718604,Nacional,1699200244GVK,1,1715.18,20221201,170042,0018239000
0664718605,Nacional,1699200244GVK,1,1715.18,20221201,170042,0018048800
0664718606,Nacional,1699200244GVK,1,1715.18,20221201,170042,0017846600
0664718607,Nacional,1699200244GVK,1,1715.18,20221201,170042,0017515400
0664718608,Nacional,1699200244GVK,1,1715.18,20221201,170042,0017344700
0664718610,Nacional,1699200244GVK,1,1715.18,20221201,170042,0018785000
0664718611,Nacional,1699200244GVK,1,1715.18,20221201,170042,0017533200
0664718612,Nacional,1699200244GVK,1,1715.18,20221201,170042,0008205200
0664718613,Nacional,1699200244GVK,1,1715.18,20221201,170042,0017444200
0664718614,Nacional,1699200244GVK,1,1715.18,20221201,170042,0001910200
0664718615,Nacional,1699200244GVK,1,1715.18,20221201,170042,0017278200
0664718616,Nacional,1699200244GVK,1,1715.18,20221201,170042,0008022500
0664718617,Nacional,1699200244GVK,1,1715.18,20221201,170042,0017067700
1718946043,Nac. Clientes Indust,F006B20097826,20,2484.99,20221201,170035,0009320000
1718946046,Nac. Clientes Indust,9130451223741,60,9768,20221201,170035,0009989800
1718946047,Nac. Clientes Indust,F006B20099741,20,2466.95,20221201,170035,0009505100
1718946047,Nac. Clientes Indust,F006B20099741,10,1233.47,20221201,170035,0009505100
1718953051,Nac. Clientes Indust,F006WM03107U6,600,69438.6,20221201,170035,0009093800
1718953052,Nac. Clientes Indust,93904530427U6,100,12577.95,20221201,170035,0015049100
1718953056,Nac. Clientes Indust,F006B10353741,500,45155.25,20221201,170035,0009367900
1718953698,Nacional OES,0445110682GTH,16,9023.94,20221201,170035,0002401300
1718953699,Nacional OES,0445110682GTH,32,18048.05,20221201,170035,0003203602
1718953700,Nacional OES,0445110682GTH,8,4511.97,20221201,170035,0008048801
1718953701,Nacional OES,0445010463BAE,4,5096.01,20221201,170035,0010176202
0500107224,Exportação,04331754888GA,96,366.72,20221201,170042,0016235200
0500107224,Exportação,04331718318GA,12,46.8,20221201,170042,0016235200
0500107224,Exportação,04332715248GA,96,421.44,20221201,170042,0016235200
0500107224,Exportação,04331715798GA,10,37.2,20221201,170042,0016235200
0500107224,Exportação,24184259828GA,20,1474,20221201,170042,0016235200
0500107224,Exportação,24184259888GA,2,143.94,20221201,170042,0016235200
0500107224,Exportação,0432191426742,12,148.2,20221201,170042,0016235200
0500107224,Exportação,0432191467742,5,70.8,20221201,170042,0016235200
0500107224,Exportação,01301111307AT,54,777.6,20221201,170042,0016235200
0500107224,Exportação,04331754268GA,192,666.24,20221201,170042,0016235200
0500107224,Exportação,24184550228GA,96,843.84,20221201,170042,0016235200
0500107224,Exportação,2433314182741,100,70,20221201,170042,0016235200
0500107224,Exportação,0414799058741,1,57.41,20221201,170042,0016235200
0500107224,Exportação,0280160575742,100,334,20221201,170042,0016235200
0500107224,Exportação,04331714358GA,96,373.44,20221201,170042,0016235200
0500107224,Exportação,0432191632741,2,33.1,20221201,170042,0016235200
0500107224,Exportação,0414799058741,1,57.41,20221201,170042,0016235200
0500107224,Exportação,0414799054741,2,119.76,20221201,170042,0016235200
0500107224,Exportação,04331714958GA,96,356.16,20221201,170042,0016235200
0500107224,Exportação,04331717868GA,96,457.92,20221201,170042,0016235200
0500107224,Exportação,0432193444742,21,267.96,20221201,170042,0016235200
0500107224,Exportação,04331712048GA,96,363.84,20221201,170042,0016235200
0500107224,Exportação,04331754848GA,288,1157.76,20221201,170042,0016235200
0500107224,Exportação,0414799058741,2,114.82,20221201,170042,0016235200
0500107224,Exportação,0414799054741,2,119.76,20221201,170042,0016235200
0500107224,Exportação,04331714958GA,95,352.45,20221201,170042,0016235200
0500107224,Exportação,2430136212742,500,295,20221201,170042,0016235200
0500107224,Exportação,F01ZN00004741,432,2846.88,20221201,170042,0016235200
0500107224,Exportação,04331711698GA,96,401.28,20221201,170042,0016235200
0500107224,Exportação,F01ZN00004741,108,711.72,20221201,170042,0016235200
0500107224,Exportação,04331718758GA,36,160.2,20221201,170042,0016235200
0500107224,Exportação,04331722328GA,96,688.32,20221201,170042,0016235200
0500107224,Exportação,24184554028GA,96,960.96,20221201,170042,0016235200
0500107224,Exportação,04331717438GA,96,382.08,20221201,170042,0016235200
0500107224,Exportação,04331713298GA,96,415.68,20221201,170042,0016235200
0500107224,Exportação,04331715858GA,6,21.96,20221201,170042,0016235200
0500107224,Exportação,04331720868GA,60,241.2,20221201,170042,0016235200
0500107224,Exportação,0432193444742,12,153.12,20221201,170042,0016235200
0500107226,Exportação,0432131615741,16,342.24,20221201,170042,0016235200
0500107235,Exportação,0432191688741,4,88.28,20221201,170042,0000924900
0500107235,Exportação,2430102356741,10,0.9,20221201,170042,0000924900
0500107235,Exportação,04332718788GA,1,6.05,20221201,170042,0000924900
0500107235,Exportação,24184550638GA,1783,16207.47,20221201,170042,0000924900
0500107237,Exportação,0432193424741,24,349.68,20221201,170042,0000924900
0500107239,Exportação,043317195874S,85,425.85,20221201,170042,0000924934
0500107240,Exportação,0432193629741,40,580.8,20221201,170042,0016325200
0500107240,Exportação,04331714798GA,2,8.7,20221201,170042,0016325200
0500107240,Exportação,0432191582741,96,1347.84,20221201,170042,0016325200
0500107240,Exportação,0432193629741,132,1533.84,20221201,170042,0016325200
0500107240,Exportação,0432191582741,64,898.56,20221201,170042,0016325200
0500107240,Exportação,0432193629741,20,232.4,20221201,170042,0016325200
0500107240,Exportação,0280156374742,10,99.8,20221201,170042,0016325200
0500107240,Exportação,04331750208GA,36,167.76,20221201,170042,0016325200
0500107240,Exportação,04332718068GA,170,887.4,20221201,170042,0016325200
0500107240,Exportação,04332712748GA,228,1060.2,20221201,170042,0016325200
0500107240,Exportação,04331750208GA,60,262.2,20221201,170042,0016325200
0500107240,Exportação,04331750628GA,93,414.78,20221201,170042,0016325200
0500107240,Exportação,04331714798GA,51,221.85,20221201,170042,0016325200
0500107240,Exportação,04331721448GA,10,46,20221201,170042,0016325200
0500107240,Exportação,F00RC00647741,2400,8616,20221201,170042,0016325200
0500107240,Exportação,24185521558GA,58,219.82,20221201,170042,0016325200
0500107240,Exportação,24184555978GA,40,670.4,20221201,170042,0016325200
0500107240,Exportação,0432191426742,48,592.8,20221201,170042,0016325200
0500107240,Exportação,24184553468GA,40,770,20221201,170042,0016325200
0500107216,Exp. Clientes Indust,0445120251397,100,3861,20221201,170035,0016325200
0500107217,Exportação,04331718948GA,83,351.09,20221201,170042,0016325200
0500107217,Exportação,F018B0680434G,1260,1386,20221201,170042,0016325200
0500107217,Exportação,F018B0680434G,3780,4158,20221201,170042,0016325200
0500107217,Exportação,F018B0680434G,2520,2772,20221201,170042,0016325200
0500107217,Exportação,F018B0680434G,2205,2425.5,20221201,170042,0016325200
0500107217,Exportação,04332701198GA,94,554.6,20221201,170042,0016325200
0500107217,Exportação,0580453432K1T,204,1878.84,20221201,170042,0016325200
0500107217,Exportação,0280156212742,3,12.66,20221201,170042,0016325200
0500107217,Exportação,0432193581741,8,86.08,20221201,170042,0016325200
0500107217,Exportação,0280156304HHV,19,130.34,20221201,170042,0016325200
0500107217,Exportação,0280156212742,1,4.22,20221201,170042,0016325200
0500107217,Exportação,028015604574U,91,374.01,20221201,170042,0016325200
0500107219,Exportação,058045343234G,90,790.2,20221201,170042,0016325200
0500107220,Exp. Clientes Indust,0433175062BFA,100,472,20221201,170035,0016325200
0500107221,Exportação,04331718798GA,12,78.24,20221201,170042,0016235200
0500107221,Exportação,04332701918GA,6,32.1,20221201,170042,0016235200
0500107221,Exportação,0280160542741,2,6.74,20221201,170042,0016235200
0500107223,Exportação,0258030368741,10,104.9,20221201,170042,0016235200
0500107223,Exportação,0258030368741,40,419.6,20221201,170042,0016235200
0500107223,Exportação,0258030368741,10,104.9,20221201,170042,0016235200
0500107224,Exportação,04331715998GA,8,31.68,20221201,170042,0016235200
0500107224,Exportação,F00RJ00005741,100,395,20221201,170042,0016235200
0500107224,Exportação,04331713408GA,96,353.28,20221201,170042,0016235200
0500107224,Exportação,04331715198GA,96,374.4,20221201,170042,0016235200
0500107224,Exportação,0414701066741,108,8868.96,20221201,170042,0016235200
0500107224,Exportação,04331719548GA,104,523.12,20221201,170042,0016235200
0500107224,Exportação,04331720748GA,96,433.92,20221201,170042,0016235200
0500107224,Exportação,04331754568GA,24,84.72,20221201,170042,0016235200
0500107224,Exportação,04331715798GA,24,89.28,20221201,170042,0016235200
0500107224,Exportação,2430136166741,250,145,20221201,170042,0016235200
0500107224,Exportação,04331718068GA,36,151.56,20221201,170042,0016235200
0500107224,Exportação,0414702025741,12,1026.72,20221201,170042,0016235200
0500107224,Exportação,04331754268GA,96,333.12,20221201,170042,0016235200
0500107224,Exportação,04331714788GA,96,359.04,20221201,170042,0016235200
0500107224,Exportação,04331719648GA,96,472.32,20221201,170042,0016235200
0500107224,Exportação,24184555458GA,100,1572,20221201,170042,0016235200
0500107224,Exportação,04331711698GA,192,802.56,20221201,170042,0016235200
0500107224,Exportação,24184551658GA,100,1489,20221201,170042,0016235200
0500107224,Exportação,0414799058741,1,57.41,20221201,170042,0016235200
0500107224,Exportação,01301111307AT,84,1209.6,20221201,170042,0016235200
0500107224,Exportação,24184555048GA,32,511.04,20221201,170042,0016235200
0500107224,Exportação,2434614055741,1000,310,20221201,170042,0016235200
0500107224,Exportação,0432191354741,8,139.68,20221201,170042,0016235200
0500107224,Exportação,04331714548GA,92,355.12,20221201,170042,0016235200
0500107224,Exportação,24184555188GA,100,1717,20221201,170042,0016235200
0500107224,Exportação,24370100878GA,46,257.6,20221201,170042,0016235200
0500107224,Exportação,04331716218GA,192,875.52,20221201,170042,0016235200
0500107224,Exportação,F00ZZ10000741,10,7.5,20221201,170042,0016235200
0500107224,Exportação,0432191240742,16,231.52,20221201,170042,0016235200
0500107224,Exportação,04331715528GA,65,250.25,20221201,170042,0016235200
0500107224,Exportação,04331711748GA,96,416.64,20221201,170042,0016235200
0500107224,Exportação,0432191796741,6,100.14,20221201,170042,0016235200
0500107224,Exportação,24184555658GA,12,196.68,20221201,170042,0016235200
0500107224,Exportação,0432193444742,30,382.8,20221201,170042,0016235200
0500107224,Exportação,F00H4S0002741,200,104,20221201,170042,0016235200
0500107224,Exportação,24184555658GA,12,196.68,20221201,170042,0016235200
0500107224,Exportação,24184554298GA,96,940.8,20221201,170042,0016235200
0500107224,Exportação,04331711888GA,96,403.2,20221201,170042,0016235200
0500107224,Exportação,04331713668GA,96,385.92,20221201,170042,0016235200
0500107224,Exportação,04331718318GA,24,93.6,20221201,170042,0016235200
0500107224,Exportação,2433314182741,200,140,20221201,170042,0016235200
0500107224,Exportação,04331712248GA,288,1172.16,20221201,170042,0016235200
0500107224,Exportação,04331753708GA,96,393.6,20221201,170042,0016235200
0500107243,Exportação,0580314326FP2,10,324.7,20221201,174910,0000927302
0500107243,Exportação,24185540338GA,96,657.6,20221201,174910,0000927302
0500107243,Exportação,04331711658GA,288,2436.48,20221201,174910,0000927302
0500107243,Exportação,04331711888GA,384,2599.68,20221201,174910,0000927302
0500107243,Exportação,04331713988GA,192,1758.72,20221201,174910,0000927302
0500107243,Exportação,04331714328GA,102,1198.5,20221201,174910,0000927302
0500107243,Exportação,04331750338GA,384,3252.48,20221201,174910,0000927302
0500107243,Exportação,F000ZS02037ZB,96,1328.64,20221201,174910,0000927302
0500107243,Exportação,2430105049742,5,2.1,20221201,174910,0000927302
0500107243,Exportação,F000TE164WFP2,120,1623.6,20221201,174910,0000927302
0500107243,Exportação,0445120231741,10,942,20221201,174910,0000927302
0500107243,Exportação,F00099M635741,1,5.87,20221201,174910,0000927302
0500107243,Exportação,24184555658GA,180,4878,20221201,174910,0000927302
0500107243,Exportação,0280157512742,31,218.86,20221201,174910,0000927302
0500107243,Exportação,2433314120741,3,13.11,20221201,174910,0000927302
0500107243,Exportação,F002C81722741,55,8.25,20221201,174910,0000927302
0500107243,Exportação,2430136191741,322,966,20221201,174910,0000927302
0500107243,Exportação,0580454094FP2,200,2122,20221201,174910,0000927302
0500107243,Exportação,0445120273741,20,1992.2,20221201,174910,0000927302
0500107243,Exportação,F00041N041741,4,98.08,20221201,174910,0000927302
0500107243,Exportação,F01ZN00002741,118,2295.1,20221201,174910,0000927302
1718953734,Nac. Clientes Indust,F006B20097741,79,9109.77,20221201,174632,0018777100
1718953734,Nac. Clientes Indust,F006B20097741,15,1729.7,20221201,174632,0018777100
0500107169,Exportação,F000TE12F9FP2,4467,53559.33,20221201,170042,0000924900
0500107170,Nacional OES,31345030893R3,40,2749.31,20221201,170035,0000224901
0500107171,Nacional OES,F006D100343R3,32,7141.42,20221201,170035,0000224901
0500107172,Nacional OES,02612304433R3,36,760.63,20221201,170035,0000224901
0500107173,Nacional OES,05802002203R3,45,6543.54,20221201,170035,0000224901
0500107195,Exportação,04331720378GA,159,1300.62,20221201,170042,0000924900
0500107198,Exportação,04331719498GA,96,318.72,20221201,170042,0000924900
0500107199,Exportação,04331720728GA,96,427.2,20221201,170042,0000924900
0500107200,Exportação,04331722068GA,20,70.8,20221201,170042,0000924900
0500107201,Exportação,F00RJ02178741,65,85.15,20221201,170042,0000924900
0500107202,Exportação,F00RJ04802741,2000,15440,20221201,170042,0016235200
0500107206,Exportação,0414701065741,18,1565.46,20221201,170042,0000924900
0500107206,Exportação,0280155831742,600,2526,20221201,170042,0000924900
0500107207,Exportação,04331710468GA,5,25.75,20221201,170042,0000924900
0500107207,Exportação,0280156183741,9,41.67,20221201,170042,0000924900
0500107207,Exportação,0432191504741,6,140.16,20221201,170042,0000924900
0500107207,Exportação,24185521818GA,6,32.88,20221201,170042,0000924900
0500107207,Exportação,04331710988GA,12,64.44,20221201,170042,0000924900
0500107208,Exportação,0280160542741,12,40.44,20221201,170042,0000924900
0500107208,Exportação,04331718618GA,6,23.82,20221201,170042,0000924900
0500107208,Exportação,F00H410520741,40,20,20221201,170042,0000924900
0500107208,Exportação,24370100788GA,7,42.35,20221201,170042,0000924900
0500107209,Exportação,F00HN37181741,50,159.5,20221201,170042,0000924900
0500107209,Exportação,0280160592741,150,394.5,20221201,170042,0000924900
0500107209,Exportação,0431113956741,15,190.05,20221201,170042,0000924900
0500107210,Exportação,04331711127T6,100,515,20221201,170042,0000924934
0500107211,Exp. Clientes Indust,025803000XB0F,24,259.44,20221201,170035,0000924934
0500107213,Exp. Clientes Indust,04321317478M8,96,1846.08,20221201,170035,0000924934
0500107213,Exp. Clientes Indust,025803001GB0F,252,2588.04,20221201,170035,0000924934
0500107213,Exp. Clientes Indust,041470300884V,108,24010.56,20221201,170035,0000924934
0500107213,Exp. Clientes Indust,0445120007G65,72,3813.12,20221201,170035,0000924934
0500107214,Exp. Clientes Indust,043317223074S,100,485,20221201,170035,0000924934
0500107214,Exp. Clientes Indust,025803001G3G4,108,1185.84,20221201,170035,0000924934
0500107214,Exp. Clientes Indust,025803000W3G4,120,1300.8,20221201,170035,0000924934
0500107214,Exp. Clientes Indust,F00HN37069CAG,200,1598,20221201,170035,0000924934
0500107214,Exp. Clientes Indust,F00HN3792874S,1000,1060,20221201,170035,0000924934
0500107214,Exp. Clientes Indust,09864355339AD,100,4302,20221201,170035,0000924934
0500107214,Exp. Clientes Indust,04451200158A2,83,8629.51,20221201,170035,0000924934
0500107215,Exportação,0445120408EVT,96,3490.56,20221201,170042,0000924934
0500107216,Exp. Clientes Indust,0432191355F3G,90,1098.9,20221201,170035,0016325200
0500107216,Exp. Clientes Indust,0445120252397,74,2812.74,20221201,170035,0016325200
0500107241,Exportação,0280156061742,162,746.82,20221201,174910,0001610010
0500107241,Exportação,04331754408GA,5,22.55,20221201,174910,0001610010
0500107241,Exportação,0432193646741,6,73.5,20221201,174910,0001610010
0500107241,Exportação,04331720778GA,11,505.89,20221201,174910,0001610010
0500107241,Exportação,F00041P049741,30,12,20221201,174910,0001610010
0500107241,Exportação,0432191233741,6,84.66,20221201,174910,0001610010
0500107241,Exportação,14183251368GA,5,37,20221201,174910,0001610010
0500107241,Exportação,F00HN34702741,5,2,20221201,174910,0001610010
0500107243,Exportação,04331751138GA,14,155.26,20221201,174910,0000927302
0500107243,Exportação,24370101138GA,96,1218.24,20221201,174910,0000927302
0500107243,Exportação,2433349453741,12,110.76,20221201,174910,0000927302
0500107243,Exportação,24185521798GA,24,111.36,20221201,174910,0000927302
0500107243,Exportação,F00ZB10001741,5,17.45,20221201,174910,0000927302
0500107243,Exportação,F00RJ01026741,5,0.9,20221201,174910,0000927302
0500107243,Exportação,F00ZB10001741,5,17.45,20221201,174910,0000927302
0500107243,Exportação,04331711188GA,12,117.6,20221201,174910,0000927302
0500107243,Exportação,F000KV1165741,4,158.88,20221201,174910,0000927302
0500107243,Exportação,04331719458GA,13,166.66,20221201,174910,0000927302
0500107243,Exportação,0280156152741,360,1857.6,20221201,174910,0000927302
0500107243,Exportação,24184550958GA,96,1452.48,20221201,174910,0000927302
0500107243,Exportação,F00099C081EWB,1,6.47,20221201,174910,0000927302
0500107243,Exportação,F00099C081EWB,8,51.76,20221201,174910,0000927302
0500107243,Exportação,F00099C081EWB,2,12.94,20221201,174910,0000927302
0500107243,Exportação,F00099C081EWB,8,51.76,20221201,174910,0000927302
0500107243,Exportação,F00099C081EWB,15,97.05,20221201,174910,0000927302
0500107243,Exportação,F00099C081EWB,14,90.58,20221201,174910,0000927302
0500107243,Exportação,0280155884741,30,152.7,20221201,174910,0000927302
0500107243,Exportação,94010835288GA,96,306.24,20221201,174910,0000927302
0500107243,Exportação,94182700408GA,480,1800,20221201,174910,0000927302
0500107243,Exportação,04331751148GA,192,1860.48,20221201,174910,0000927302
0500107243,Exportação,F0004309008GA,384,3083.52,20221201,174910,0000927302
0500107243,Exportação,2430105049742,10,4.2,20221201,174910,0000927302
0500107243,Exportação,F00099M635741,1,5.87,20221201,174910,0000927302
0500107243,Exportação,24184500678GA,96,1454.4,20221201,174910,0000927302
0500107243,Exportação,F00RJ02506741,100,1750,20221201,174910,0000927302
0500107243,Exportação,0280157512742,2,14.12,20221201,174910,0000927302
0500107243,Exportação,2433314120741,2,8.74,20221201,174910,0000927302
0500107243,Exportação,F002C81722741,55,8.25,20221201,174910,0000927302
0500107243,Exportação,2433314023741,77,234.85,20221201,174910,0000927302
0500107243,Exportação,04331719748GA,103,1680.96,20221201,174910,0000927302
0500107243,Exportação,9390453086741,47,821.56,20221201,174910,0000927302
0500107243,Exportação,F00041N041741,3,73.56,20221201,174910,0000927302
0500107243,Exportação,24184555488GA,26,993.2,20221201,174910,0000927302
0500107243,Exportação,0986332805741,40,67.6,20221201,174910,0000927302
0500107243,Exportação,04331750788GA,6,56.1,20221201,174910,0000927302
0500107243,Exportação,24370100758GA,103,1218.49,20221201,174910,0000927302
0500107243,Exportação,F002C62520741,39,427.83,20221201,174910,0000927302
0500107243,Exportação,9232081442742,36,202.68,20221201,174910,0000927302
0500107243,Exportação,04331755318GA,12,84.96,20221201,174910,0000927302
0500107243,Exportação,04331721558GA,96,1161.6,20221201,174910,0000927302
0500107243,Exportação,F00HN36474741,10,2.6,20221201,174910,0000927302
0500107243,Exportação,04331755108GA,101,1561.46,20221201,174910,0000927302
0500107243,Exportação,F000DR0215741,83,441.56,20221201,174910,0000927302
0500107243,Exportação,24185520658GA,32,189.44,20221201,174910,0000927302
0500107243,Exportação,F00RJ02703741,96,1819.2,20221201,174910,0000927302
0500107243,Exportação,F00RJ02697741,300,4470,20221201,174910,0000927302
0500107243,Exportação,F00099M302741,23,142.14,20221201,174910,0000927302
0500107243,Exportação,0280156399741,1080,8586,20221201,174910,0000927302
0500107243,Exportação,0280156410741,240,1675.2,20221201,174910,0000927302
0500107243,Exportação,0280155930741,120,901.2,20221201,174910,0000927302
0500107243,Exportação,F000ZS02357ZB,168,1827.84,20221201,174910,0000927302
0500107243,Exportação,F000DR0209741,200,814,20221201,174910,0000927302
0500107243,Exportação,0280156096741,60,628.8,20221201,174910,0000927302
0500107243,Exportação,0280155925741,120,754.8,20221201,174910,0000927302
0500107230,Exportação,24184550348GA,8,74.56,20221201,174810,0000924900
0500107230,Exportação,01300635147AT,764,11230.8,20221201,174810,0000924900
0500107230,Exportação,F00HN37402741,227,2780.75,20221201,174810,0000924900
0500107230,Exportação,0414701064741,36,3053.16,20221201,174810,0000924900
0500107230,Exportação,24184551288GA,100,1718,20221201,174810,0000924900
0500107230,Exportação,0414701105741,6,498.12,20221201,174810,0000924900
0500107230,Exportação,24184551528GA,100,1500,20221201,174810,0000924900
0500107230,Exportação,24184553468GA,20,385,20221201,174810,0000924900
0500107230,Exportação,0280160560741,700,2156,20221201,174810,0000924900
0500107230,Exportação,0280160575742,1050,3507,20221201,174810,0000924900
0500107230,Exportação,0280160597742,550,1716,20221201,174810,0000924900
0500107230,Exportação,04331717408GA,9132,34427.64,20221201,174810,0000924900
0500107230,Exportação,04331719868GA,5184,19699.2,20221201,174810,0000924900
0500107230,Exportação,F00RC00647741,1200,4308,20221201,174810,0000924900
0500107230,Exportação,04331719618GA,576,5702.4,20221201,174810,0000924900
0500107230,Exportação,04331719638GA,905,4642.65,20221201,174810,0000924900
0500107230,Exportação,F00H4S0002741,236,127.44,20221201,174810,0000924900
0500107230,Exportação,0432193417742,117,1643.85,20221201,174810,0000924900
0500107230,Exportação,0414799054741,2,133,20221201,174810,0000924900
0500107230,Exportação,0414799058741,90,5770.8,20221201,174810,0000924900
0500107230,Exportação,F00RJ02714741,70,349.3,20221201,174810,0000924900
0500107230,Exportação,0432193480742,34,480.76,20221201,174810,0000924900
0500107230,Exportação,0261230344741,850,3502,20221201,174810,0000924900
0500107230,Exportação,0432191355742,13,155.61,20221201,174810,0000924900
0500107230,Exportação,F01ZN0000F741,24,180.48,20221201,174810,0000924900
0500107230,Exportação,0986435533909,100,4355,20221201,174810,0000924900
0500107230,Exportação,0445120552741,62,7395.36,20221201,174810,0000924900
0500107230,Exportação,24184557118GA,12,174.36,20221201,174810,0000924900
0500107230,Exportação,04331717358GA,285,1151.4,20221201,174810,0000924900
0500107230,Exportação,04331719488GA,3712,13734.4,20221201,174810,0000924900
0500107230,Exportação,04331715958GA,96,577.92,20221201,174810,0000924900
0500107231,Exportação,F00HN36632741,618,74.16,20221201,174810,0000924900
0500107231,Exportação,04331715628GA,48,210.72,20221201,174810,0000924900
0500107231,Exportação,04331754308GA,72,557.28,20221201,174810,0000924900
0500107231,Exportação,04331755758GA,4605,19479.15,20221201,174810,0000924900
0500107231,Exportação,14184150738GA,48,954.24,20221201,174810,0000924900
0500107231,Exportação,24184551458GA,100,1889,20221201,174810,0000924900
0500107231,Exportação,24184553558GA,16,261.28,20221201,174810,0000924900
0500107231,Exportação,24184555788GA,6,102.66,20221201,174810,0000924900
0500107231,Exportação,04331719658GA,94,470.94,20221201,174810,0000924900
0500107231,Exportação,F00VX99999741,6000,5580,20221201,174810,0000924900
0500107231,Exportação,0445120305741,120,4266,20221201,174810,0000924900
0500107231,Exportação,24184557288GA,20,411.4,20221201,174810,0000924900
0500107232,Exportação,F00ZB10001741,185,555,20221201,174810,0000924900
0500107233,Exportação,0445120272741,79,3400.95,20221201,174810,0000924900
0500107233,Exportação,04331713078GA,16,70.56,20221201,174810,0000924900
0500107234,Exportação,04331714948GA,4,20.32,20221201,174810,0000924900
0500107236,Exportação,24185540538GA,29,103.24,20221201,174810,0000924900
0500107236,Exportação,0432191390742,96,1182.72,20221201,174810,0000924900
0500107236,Exportação,04331726338GA,12,121.8,20221201,174810,0000924900
0500107241,Exportação,0432193646741,1,12.25,20221201,174910,0001610010
0500107241,Exportação,04331713868GA,7,33.74,20221201,174910,0001610010
0500107241,Exportação,04331713868GA,2,9.64,20221201,174910,0001610010
0500107241,Exportação,04331713868GA,6,28.92,20221201,174910,0001610010
0500107241,Exportação,04331713868GA,6,28.92,20221201,174910,0001610010
0500107241,Exportação,04331713868GA,15,72.3,20221201,174910,0001610010
0500107241,Exportação,04331753098GA,6,46.86,20221201,174910,0001610010
0500107241,Exportação,2433124388741,40,11.6,20221201,174910,0001610010
0500107241,Exportação,04331712048GA,3,11.52,20221201,174910,0001610010
0500107241,Exportação,0445120272741,15,646.35,20221201,174910,0001610010
0500107241,Exportação,04331751978GA,15,61.05,20221201,174910,0001610010
0500107241,Exportação,04331715268GA,8,34.72,20221201,174910,0001610010
0500107241,Exportação,04331714318GA,16,70.72,20221201,174910,0001610010
